"","V1","V2","V3","V4","V5","V6","V7"
"41","chr17",17811342,17811352,"BHLHA15(var.2)",246,"+",NA
"42","chr17",17811342,17811352,"BHLHE22(var.2)",259,"+",NA
"43","chr17",17811342,17811352,"BHLHE22(var.2)",262,"-",NA
"44","chr17",17811342,17811352,"FIGLA",282,"-",NA
"45","chr17",17811342,17811352,"MSC",341,"+",NA
"46","chr17",17811343,17811355,"ZNF341",381,"-",NA
"47","chr17",17811345,17811356,"Foxo1",373,"+",NA
"48","chr17",17811345,17811356,"PRDM4",592,"+",NA
"49","chr17",17811345,17811360,"MEF2C",356,"-",NA
"50","chr17",17811346,17811357,"FOXP2",286,"-",NA
"51","chr17",17811346,17811357,"Foxf1",297,"-",NA
"52","chr17",17811346,17811358,"DMRTA2",266,"-",NA
"53","chr17",17811347,17811355,"Foxj2",251,"-",NA
"54","chr17",17811347,17811361,"RFX1",335,"+",NA
"55","chr17",17811348,17811355,"FOXI1",253,"-",NA
"56","chr17",17811348,17811355,"FOXL1",243,"-",NA
"57","chr17",17811348,17811355,"FOXO4",287,"-",NA
"58","chr17",17811348,17811355,"FOXO6",270,"-",NA
"59","chr17",17811348,17811355,"FOXP3",226,"-",NA
"60","chr17",17811348,17811357,"RFX7",298,"+",NA
"61","chr17",17811348,17811358,"NFAT5",259,"+",NA
"62","chr17",17811349,17811360,"STAT3",271,"+",NA
"63","chr17",17811349,17811360,"STAT3",299,"-",NA
"64","chr17",17811349,17811360,"Stat5a::Stat5b",270,"+",NA
"65","chr17",17811352,17811362,"BARHL2",260,"+",NA
"66","chr17",17811353,17811361,"BARHL1",191,"+",NA
"67","chr17",17811353,17811366,"TWIST1",308,"+",NA
"68","chr17",17811353,17811366,"ZBTB18",326,"+",NA
"69","chr17",17811354,17811367,"Ptf1a",359,"+",NA
"70","chr17",17811355,17811365,"ATOH1(var.2)",319,"-",NA
"71","chr17",17811355,17811365,"ATOH1(var.2)",324,"+",NA
"72","chr17",17811355,17811365,"ATOH7",243,"+",NA
"73","chr17",17811355,17811365,"ATOH7",273,"-",NA
"74","chr17",17811355,17811365,"Atoh1",294,"-",NA
"75","chr17",17811355,17811365,"Atoh1",320,"+",NA
"76","chr17",17811355,17811365,"BHLHA15(var.2)",251,"-",NA
"77","chr17",17811355,17811365,"BHLHA15(var.2)",306,"+",NA
"78","chr17",17811355,17811365,"HAND2",265,"+",NA
"79","chr17",17811355,17811365,"MSC",357,"-",NA
"80","chr17",17811355,17811365,"MYF6",323,"+",NA
"81","chr17",17811355,17811365,"MYF6",334,"-",NA
"82","chr17",17811355,17811365,"NEUROD2",275,"-",NA
"83","chr17",17811355,17811365,"NEUROG2",303,"+",NA
"84","chr17",17811355,17811365,"OLIG1",300,"+",NA
"85","chr17",17811355,17811365,"OLIG1",300,"-",NA
"86","chr17",17811355,17811365,"OLIG2",268,"+",NA
"87","chr17",17811355,17811365,"OLIG2",309,"-",NA
"88","chr17",17811355,17811365,"OLIG3",318,"+",NA
"89","chr17",17811355,17811365,"OLIG3",336,"-",NA
"90","chr17",17811355,17811365,"TFAP4(var.2)",277,"-",NA
"91","chr17",17811355,17811365,"TFAP4(var.2)",280,"+",NA
"92","chr17",17811355,17811367,"TAL1::TCF3",398,"-",NA
"93","chr17",17811356,17811366,"HLTF",228,"-",NA
"94","chr17",17811356,17811373,"Foxj3",387,"-",NA
"95","chr17",17811357,17811369,"BARX2",261,"-",NA
"96","chr17",17811357,17811369,"POU2F1",322,"+",NA
"97","chr17",17811357,17811370,"POU3F3",390,"+",NA
"98","chr17",17811357,17811371,"FOXK1",369,"-",NA
"99","chr17",17811358,17811369,"Foxo1",358,"+",NA
"100","chr17",17811358,17811369,"Foxq1",468,"+",NA
"101","chr17",17811358,17811370,"FOXA1",451,"-",NA
"102","chr17",17811358,17811370,"Foxd3",412,"+",NA
"103","chr17",17811358,17811370,"POU3F1",335,"+",NA
"104","chr17",17811359,17811368,"POU5F1B",282,"+",NA
"105","chr17",17811359,17811369,"BARHL2",274,"-",NA
"106","chr17",17811359,17811370,"FOXA2",401,"-",NA
"107","chr17",17811359,17811370,"FOXA3",405,"-",NA
"108","chr17",17811359,17811370,"FOXK2",418,"-",NA
"109","chr17",17811359,17811370,"FOXP1",418,"-",NA
"110","chr17",17811359,17811370,"FOXP2",393,"-",NA
"111","chr17",17811359,17811370,"Foxf1",432,"-",NA
"112","chr17",17811359,17811371,"FOXC2",469,"-",NA
"113","chr17",17811359,17811373,"FOXF2",417,"-",NA
"114","chr17",17811359,17811373,"Foxl2",425,"-",NA
"115","chr17",17811359,17811374,"FOXE1",452,"-",NA
"116","chr17",17811360,17811368,"BARHL1",270,"-",NA
"117","chr17",17811360,17811368,"FOXD1",397,"-",NA
"118","chr17",17811360,17811368,"FOXG1",421,"-",NA
"119","chr17",17811360,17811368,"FOXO3",386,"-",NA
"120","chr17",17811360,17811368,"Foxj2",411,"-",NA
"121","chr17",17811360,17811371,"FOXB1",437,"-",NA
"122","chr17",17811360,17811371,"FOXC1",486,"-",NA
"123","chr17",17811360,17811373,"FOXD2",459,"-",NA
"124","chr17",17811360,17811377,"Foxj3",396,"-",NA
"125","chr17",17811361,17811368,"FOXI1",373,"-",NA
"126","chr17",17811361,17811368,"FOXL1",391,"-",NA
"127","chr17",17811361,17811368,"FOXO4",391,"-",NA
"128","chr17",17811361,17811368,"FOXO6",391,"-",NA
"129","chr17",17811361,17811368,"FOXP3",391,"-",NA
"130","chr17",17811361,17811372,"CDX4",284,"-",NA
"131","chr17",17811361,17811372,"FOXH1",388,"-",NA
"132","chr17",17811361,17811372,"HOXA10",277,"-",NA
"133","chr17",17811361,17811372,"HOXD13",315,"-",NA
"134","chr17",17811361,17811373,"CDX2",320,"-",NA
"135","chr17",17811361,17811373,"ZNF384",330,"-",NA
"136","chr17",17811361,17811375,"FOXK1",313,"-",NA
"137","chr17",17811362,17811372,"BARHL2",192,"+",NA
"138","chr17",17811362,17811372,"ESX1",228,"-",NA
"139","chr17",17811362,17811372,"HOXB3",201,"-",NA
"140","chr17",17811362,17811372,"RAX",235,"-",NA
"141","chr17",17811362,17811374,"Foxd3",325,"+",NA
"142","chr17",17811362,17811374,"ZNF384",318,"-",NA
"143","chr17",17811363,17811369,"Arid3a",228,"-",NA
"144","chr17",17811363,17811371,"NKX6-2",212,"-",NA
"145","chr17",17811363,17811372,"SRY",282,"-",NA
"146","chr17",17811363,17811372,"Sox17",268,"+",NA
"147","chr17",17811363,17811373,"Dlx1",223,"-",NA
"148","chr17",17811363,17811373,"RAX",243,"-",NA
"149","chr17",17811363,17811374,"FOXA2",283,"-",NA
"150","chr17",17811363,17811374,"FOXP2",306,"-",NA
"151","chr17",17811363,17811375,"FOXC2",391,"-",NA
"152","chr17",17811363,17811375,"ZNF384",349,"-",NA
"153","chr17",17811363,17811376,"POU2F2",339,"+",NA
"154","chr17",17811364,17811372,"Foxj2",283,"-",NA
"155","chr17",17811364,17811374,"Sox6",265,"+",NA
"156","chr17",17811364,17811375,"FOXB1",317,"-",NA
"157","chr17",17811364,17811375,"FOXC1",377,"-",NA
"158","chr17",17811364,17811377,"FOXD2",333,"-",NA
"159","chr17",17811364,17811378,"Stat4",336,"-",NA
"160","chr17",17811365,17811372,"FOXI1",276,"-",NA
"161","chr17",17811365,17811372,"FOXL1",236,"-",NA
"162","chr17",17811365,17811372,"FOXO4",298,"-",NA
"163","chr17",17811365,17811372,"FOXO6",268,"-",NA
"164","chr17",17811365,17811372,"FOXP3",257,"-",NA
"165","chr17",17811365,17811375,"NFAT5",257,"+",NA
"166","chr17",17811365,17811377,"POU3F1",307,"-",NA
"167","chr17",17811366,17811376,"NFAT5",412,"+",NA
"168","chr17",17811366,17811376,"NFATC1",350,"+",NA
"169","chr17",17811366,17811376,"NFATC3",366,"+",NA
"170","chr17",17811366,17811376,"NFATC4",333,"-",NA
"171","chr17",17811366,17811377,"ELF5",277,"-",NA
"172","chr17",17811367,17811374,"NFATC2",391,"+",NA
"173","chr17",17811367,17811377,"POU6F1(var.2)",242,"-",NA
"174","chr17",17811367,17811378,"STAT3",314,"-",NA
"175","chr17",17811368,17811378,"GSX1",212,"+",NA
"176","chr17",17811368,17811378,"HOXA6",224,"+",NA
"177","chr17",17811368,17811378,"HOXB3",219,"+",NA
"178","chr17",17811368,17811378,"MNX1",227,"+",NA
"179","chr17",17811369,17811377,"BARX1",215,"+",NA
"180","chr17",17811369,17811377,"BSX",208,"+",NA
"181","chr17",17811369,17811377,"HOXA7",208,"+",NA
"182","chr17",17811369,17811377,"HOXB4",215,"+",NA
"183","chr17",17811369,17811377,"HOXB6",232,"-",NA
"184","chr17",17811369,17811377,"HOXC4",212,"+",NA
"185","chr17",17811369,17811377,"HOXC8",202,"-",NA
"186","chr17",17811369,17811377,"HOXD4",206,"+",NA
"187","chr17",17811369,17811377,"NKX6-1",290,"+",NA
"188","chr17",17811369,17811377,"NKX6-2",208,"+",NA
"189","chr17",17811369,17811377,"PDX1",232,"+",NA
"190","chr17",17811369,17811377,"VAX1",214,"-",NA
"191","chr17",17811369,17811377,"VAX2",219,"-",NA
"192","chr17",17811369,17811378,"NKX2-8",195,"+",NA
"193","chr17",17811369,17811379,"HLTF",206,"+",NA
"194","chr17",17811372,17811381,"NKX2-8",273,"-",NA
"195","chr17",17811372,17811382,"NKX2-3",283,"-",NA
"196","chr17",17811372,17811383,"Nkx2-5(var.2)",265,"-",NA
"197","chr17",17811372,17811385,"Nkx3-2",333,"-",NA
"198","chr17",17811373,17811381,"HOXB6",190,"+",NA
"199","chr17",17811373,17811381,"ISL2",258,"-",NA
"200","chr17",17811373,17811381,"NKX6-1",222,"-",NA
"201","chr17",17811373,17811382,"Nkx3-1",267,"-",NA
"202","chr17",17811373,17811385,"ZNF652",404,"+",NA
"203","chr17",17811374,17811385,"BATF3",298,"-",NA
"204","chr17",17811374,17811387,"FOXD2",262,"+",NA
"205","chr17",17811374,17811388,"FOXF2",368,"+",NA
"206","chr17",17811375,17811384,"Nr2e1",284,"+",NA
"207","chr17",17811376,17811387,"FOXB1",297,"+",NA
"208","chr17",17811376,17811387,"FOXC1",312,"+",NA
"209","chr17",17811376,17811388,"FOXC2",282,"+",NA
"210","chr17",17811376,17811390,"FOXK1",332,"+",NA
"211","chr17",17811377,17811388,"FOXA2",309,"+",NA
"212","chr17",17811377,17811388,"FOXA3",323,"+",NA
"213","chr17",17811377,17811388,"FOXK2",330,"+",NA
"214","chr17",17811377,17811388,"FOXP1",312,"+",NA
"215","chr17",17811377,17811388,"FOXP2",336,"+",NA
"216","chr17",17811377,17811388,"Foxf1",281,"+",NA
"217","chr17",17811377,17811389,"FOXA1",314,"+",NA
"218","chr17",17811377,17811389,"ZNF384",391,"+",NA
"219","chr17",17811378,17811384,"Arid3a",228,"+",NA
"220","chr17",17811378,17811385,"NFATC2",264,"-",NA
"221","chr17",17811378,17811388,"MNX1",223,"+",NA
"222","chr17",17811378,17811388,"NFAT5",274,"-",NA
"223","chr17",17811378,17811389,"CDX4",285,"+",NA
"224","chr17",17811378,17811389,"Foxo1",337,"-",NA
"225","chr17",17811378,17811389,"HOXA10",318,"+",NA
"226","chr17",17811378,17811390,"ZNF384",297,"+",NA
"227","chr17",17811379,17811386,"FOXI1",351,"+",NA
"228","chr17",17811379,17811386,"FOXL1",263,"+",NA
"229","chr17",17811379,17811386,"FOXO4",303,"+",NA
"230","chr17",17811379,17811386,"FOXO6",275,"+",NA
"231","chr17",17811379,17811386,"FOXP3",250,"+",NA
"232","chr17",17811379,17811387,"FOXD1",353,"+",NA
"233","chr17",17811379,17811387,"FOXG1",333,"+",NA
"234","chr17",17811379,17811387,"FOXN3",341,"+",NA
"235","chr17",17811379,17811387,"FOXO3",397,"+",NA
"236","chr17",17811379,17811387,"Foxj2",309,"+",NA
"237","chr17",17811379,17811389,"HOXD9",308,"+",NA
"238","chr17",17811380,17811391,"FOXP2",364,"+",NA
"239","chr17",17811380,17811392,"Foxd3",333,"-",NA
"240","chr17",17811381,17811391,"BARHL2",233,"+",NA
"241","chr17",17811381,17811392,"Foxo1",348,"-",NA
"242","chr17",17811381,17811392,"Foxq1",342,"-",NA
"243","chr17",17811381,17811392,"PRDM4",382,"-",NA
"244","chr17",17811382,17811389,"FOXI1",272,"+",NA
"245","chr17",17811382,17811389,"FOXL1",262,"+",NA
"246","chr17",17811382,17811389,"FOXO4",317,"+",NA
"247","chr17",17811382,17811389,"FOXO6",306,"+",NA
"248","chr17",17811382,17811389,"FOXP3",298,"+",NA
"249","chr17",17811382,17811390,"BARHL1",190,"+",NA
"250","chr17",17811382,17811390,"Foxj2",321,"+",NA
"251","chr17",17811382,17811391,"SRY",279,"+",NA
"252","chr17",17811382,17811394,"BARX2",339,"+",NA
"253","chr17",17811384,17811391,"Sox5",269,"-",NA
"254","chr17",17811385,17811394,"Nr2e1",291,"+",NA
"255","chr17",17811385,17811396,"Gfi1b",285,"-",NA
"256","chr17",17811385,17811397,"GFI1",316,"-",NA
"257","chr17",17811386,17811394,"Dux",244,"+",NA
"258","chr17",17811386,17811394,"HOXA4",184,"+",NA
"259","chr17",17811386,17811394,"MEIS3",236,"-",NA
"260","chr17",17811386,17811397,"NR1H4",329,"-",NA
"261","chr17",17811387,17811394,"MEIS1",260,"-",NA
"262","chr17",17811387,17811397,"POU6F1(var.2)",266,"-",NA
"263","chr17",17811388,17811396,"Pax2",327,"+",NA
"264","chr17",17811388,17811398,"EMX2",269,"-",NA
"265","chr17",17811388,17811398,"EN2",264,"-",NA
"266","chr17",17811388,17811398,"EVX1",248,"+",NA
"267","chr17",17811388,17811398,"EVX2",242,"+",NA
"268","chr17",17811388,17811398,"GBX1",237,"-",NA
"269","chr17",17811388,17811398,"GBX2",247,"-",NA
"270","chr17",17811388,17811398,"HOXA6",215,"+",NA
"271","chr17",17811388,17811398,"HOXA6",244,"-",NA
"272","chr17",17811388,17811398,"HOXB7",301,"+",NA
"273","chr17",17811388,17811398,"MEOX1",243,"-",NA
"274","chr17",17811388,17811398,"MEOX1",291,"+",NA
"275","chr17",17811388,17811398,"MEOX2",240,"-",NA
"276","chr17",17811388,17811398,"MEOX2",275,"+",NA
"277","chr17",17811388,17811398,"MIXL1",224,"-",NA
"278","chr17",17811388,17811398,"MNX1",235,"-",NA
"279","chr17",17811388,17811398,"NOTO",214,"+",NA
"280","chr17",17811389,17811397,"DLX5",280,"-",NA
"281","chr17",17811389,17811397,"DLX6",248,"-",NA
"282","chr17",17811389,17811397,"DRGX",232,"-",NA
"283","chr17",17811389,17811397,"Dlx2",303,"-",NA
"284","chr17",17811389,17811397,"Dlx3",270,"-",NA
"285","chr17",17811389,17811397,"Dlx4",268,"-",NA
"286","chr17",17811389,17811397,"EMX1",298,"-",NA
"287","chr17",17811389,17811397,"EN1",278,"-",NA
"288","chr17",17811389,17811397,"GSX2",207,"-",NA
"289","chr17",17811389,17811397,"GSX2",278,"+",NA
"290","chr17",17811389,17811397,"HOXA1",283,"+",NA
"291","chr17",17811389,17811397,"HOXA1",286,"-",NA
"292","chr17",17811389,17811397,"HOXA2",303,"+",NA
"293","chr17",17811389,17811397,"HOXA4",232,"-",NA
"294","chr17",17811389,17811397,"HOXA4",297,"+",NA
"295","chr17",17811389,17811397,"HOXA5",254,"+",NA
"296","chr17",17811389,17811397,"HOXA5",343,"-",NA
"297","chr17",17811389,17811397,"HOXA7",213,"+",NA
"298","chr17",17811389,17811397,"HOXA7",340,"-",NA
"299","chr17",17811389,17811397,"HOXB2",220,"+",NA
"300","chr17",17811389,17811397,"HOXB2",318,"-",NA
"301","chr17",17811389,17811397,"HOXB4",235,"-",NA
"302","chr17",17811389,17811397,"HOXB4",254,"+",NA
"303","chr17",17811389,17811397,"HOXB5",306,"-",NA
"304","chr17",17811389,17811397,"HOXB5",307,"+",NA
"305","chr17",17811389,17811397,"HOXB6",276,"-",NA
"306","chr17",17811389,17811397,"HOXB6",287,"+",NA
"307","chr17",17811389,17811397,"HOXB8",235,"+",NA
"308","chr17",17811389,17811397,"HOXB8",333,"-",NA
"309","chr17",17811389,17811397,"HOXC4",291,"+",NA
"310","chr17",17811389,17811397,"HOXC8",315,"+",NA
"311","chr17",17811389,17811397,"HOXC8",319,"-",NA
"312","chr17",17811389,17811397,"HOXD3",244,"-",NA
"313","chr17",17811389,17811397,"HOXD3",266,"+",NA
"314","chr17",17811389,17811397,"HOXD4",284,"+",NA
"315","chr17",17811389,17811397,"HOXD8",243,"+",NA
"316","chr17",17811389,17811397,"HOXD8",343,"-",NA
"317","chr17",17811389,17811397,"ISX",234,"-",NA
"318","chr17",17811389,17811397,"LHX1",318,"-",NA
"319","chr17",17811389,17811397,"LHX5",258,"-",NA
"320","chr17",17811389,17811397,"LHX9",251,"-",NA
"321","chr17",17811389,17811397,"Lhx4",208,"+",NA
"322","chr17",17811389,17811397,"Lhx8",219,"-",NA
"323","chr17",17811389,17811397,"Lhx8",228,"+",NA
"324","chr17",17811389,17811397,"MSX1",309,"-",NA
"325","chr17",17811389,17811397,"MSX2",274,"-",NA
"326","chr17",17811389,17811397,"Msx3",264,"-",NA
"327","chr17",17811389,17811397,"NKX6-1",254,"+",NA
"328","chr17",17811389,17811397,"NKX6-2",202,"-",NA
"329","chr17",17811389,17811397,"NKX6-2",212,"+",NA
"330","chr17",17811389,17811397,"PRRX1",230,"-",NA
"331","chr17",17811389,17811397,"RAX2",232,"-",NA
"332","chr17",17811389,17811397,"SHOX",226,"+",NA
"333","chr17",17811389,17811397,"SOX18",176,"+",NA
"334","chr17",17811389,17811397,"Shox2",249,"-",NA
"335","chr17",17811389,17811397,"UNCX",219,"-",NA
"336","chr17",17811389,17811397,"VAX1",232,"-",NA
"337","chr17",17811389,17811397,"VAX2",234,"+",NA
"338","chr17",17811389,17811397,"VAX2",246,"-",NA
"339","chr17",17811389,17811398,"NKX6-3",300,"+",NA
"340","chr17",17811389,17811401,"Ddit3::Cebpa",432,"-",NA
"341","chr17",17811390,17811398,"SOX18",231,"-",NA
"342","chr17",17811390,17811398,"TEAD3",232,"+",NA
"343","chr17",17811390,17811401,"DUX4",290,"-",NA
"344","chr17",17811390,17811401,"POU5F1",293,"-",NA
"345","chr17",17811391,17811399,"NR2C2(var.2)",156,"+",NA
"346","chr17",17811395,17811403,"BARHL1",237,"-",NA
"347","chr17",17811395,17811403,"Dux",257,"+",NA
"348","chr17",17811395,17811403,"ISL2",227,"+",NA
"349","chr17",17811395,17811403,"LHX1",193,"+",NA
"350","chr17",17811395,17811403,"TEAD3",255,"+",NA
"351","chr17",17811395,17811410,"ZBTB26",303,"+",NA
"352","chr17",17811396,17811405,"LIN54",269,"-",NA
"353","chr17",17811396,17811407,"STAT3",267,"+",NA
"354","chr17",17811396,17811411,"MEF2C",323,"+",NA
"355","chr17",17811396,17811411,"Stat6",332,"-",NA
"356","chr17",17811397,17811408,"STAT3",290,"+",NA
"357","chr17",17811397,17811409,"ZNF384",351,"+",NA
"358","chr17",17811397,17811411,"Stat4",285,"+",NA
"359","chr17",17811398,17811409,"Stat5a::Stat5b",293,"-",NA
"360","chr17",17811398,17811410,"ZNF384",336,"+",NA
"361","chr17",17811399,17811411,"ZNF384",521,"+",NA
"362","chr17",17811400,17811410,"Sox3",251,"-",NA
"363","chr17",17811400,17811412,"ZNF384",510,"+",NA
"364","chr17",17811401,17811411,"SOX15",248,"-",NA
"365","chr17",17811401,17811411,"Sox3",273,"-",NA
"366","chr17",17811401,17811412,"Foxo1",282,"-",NA
"367","chr17",17811401,17811412,"HOXA10",254,"+",NA
"368","chr17",17811401,17811413,"ZNF384",570,"+",NA
"369","chr17",17811401,17811414,"Stat2",407,"+",NA
"370","chr17",17811402,17811409,"FOXO4",227,"+",NA
"371","chr17",17811402,17811412,"Sox3",272,"-",NA
"372","chr17",17811402,17811414,"Foxd3",328,"-",NA
"373","chr17",17811402,17811414,"ZNF384",574,"+",NA
"374","chr17",17811402,17811415,"Stat2",366,"+",NA
"375","chr17",17811403,17811413,"SOX15",263,"-",NA
"376","chr17",17811403,17811413,"Sox3",281,"-",NA
"377","chr17",17811403,17811414,"FOXC1",265,"+",NA
"378","chr17",17811403,17811415,"FOXC2",270,"+",NA
"379","chr17",17811403,17811415,"Foxd3",369,"-",NA
"380","chr17",17811403,17811415,"ZNF384",622,"+",NA
"381","chr17",17811403,17811416,"Stat2",378,"+",NA
"382","chr17",17811404,17811414,"SOX15",263,"-",NA
"383","chr17",17811404,17811414,"Sox3",281,"-",NA
"384","chr17",17811404,17811415,"FOXC1",265,"+",NA
"385","chr17",17811404,17811416,"FOXC2",270,"+",NA
"386","chr17",17811404,17811416,"Foxd3",369,"-",NA
"387","chr17",17811404,17811416,"ZNF384",622,"+",NA
"388","chr17",17811404,17811417,"Stat2",378,"+",NA
"389","chr17",17811405,17811415,"SOX15",263,"-",NA
"390","chr17",17811405,17811415,"Sox3",281,"-",NA
"391","chr17",17811405,17811416,"FOXC1",265,"+",NA
"392","chr17",17811405,17811417,"FOXC2",270,"+",NA
"393","chr17",17811405,17811417,"Foxd3",369,"-",NA
"394","chr17",17811405,17811417,"ZNF384",622,"+",NA
"395","chr17",17811405,17811418,"Stat2",378,"+",NA
"396","chr17",17811406,17811416,"SOX15",263,"-",NA
"397","chr17",17811406,17811416,"Sox3",281,"-",NA
"398","chr17",17811406,17811417,"FOXC1",265,"+",NA
"399","chr17",17811406,17811418,"FOXC2",270,"+",NA
"400","chr17",17811406,17811418,"Foxd3",369,"-",NA
"401","chr17",17811406,17811418,"ZNF384",622,"+",NA
"402","chr17",17811406,17811419,"Stat2",378,"+",NA
"403","chr17",17811406,17811427,"IRF1",543,"-",NA
"404","chr17",17811407,17811417,"SOX15",263,"-",NA
"405","chr17",17811407,17811417,"Sox3",281,"-",NA
"406","chr17",17811407,17811418,"FOXC1",265,"+",NA
"407","chr17",17811407,17811419,"FOXC2",270,"+",NA
"408","chr17",17811407,17811419,"Foxd3",369,"-",NA
"409","chr17",17811407,17811419,"ZNF384",622,"+",NA
"410","chr17",17811407,17811420,"Stat2",378,"+",NA
"411","chr17",17811408,17811418,"SOX15",263,"-",NA
"412","chr17",17811408,17811418,"Sox3",281,"-",NA
"413","chr17",17811408,17811419,"FOXC1",265,"+",NA
"414","chr17",17811408,17811420,"FOXC2",270,"+",NA
"415","chr17",17811408,17811420,"Foxd3",369,"-",NA
"416","chr17",17811408,17811420,"ZNF384",622,"+",NA
"417","chr17",17811408,17811421,"Stat2",378,"+",NA
"418","chr17",17811409,17811419,"SOX15",263,"-",NA
"419","chr17",17811409,17811419,"Sox3",281,"-",NA
"420","chr17",17811409,17811420,"FOXC1",265,"+",NA
"421","chr17",17811409,17811421,"FOXC2",270,"+",NA
"422","chr17",17811409,17811421,"Foxd3",369,"-",NA
"423","chr17",17811409,17811421,"ZNF384",622,"+",NA
"424","chr17",17811410,17811420,"SOX15",263,"-",NA
"425","chr17",17811410,17811420,"Sox3",281,"-",NA
"426","chr17",17811410,17811421,"FOXC1",265,"+",NA
"427","chr17",17811410,17811422,"Foxd3",343,"-",NA
"428","chr17",17811410,17811422,"ZNF384",480,"+",NA
"429","chr17",17811410,17811423,"Stat2",396,"+",NA
"430","chr17",17811410,17811425,"STAT1::STAT2",434,"-",NA
"431","chr17",17811411,17811421,"SOX15",263,"-",NA
"432","chr17",17811411,17811421,"Sox3",281,"-",NA
"433","chr17",17811411,17811423,"Foxd3",322,"-",NA
"434","chr17",17811411,17811423,"ZNF384",412,"+",NA
"435","chr17",17811412,17811422,"SOX15",285,"-",NA
"436","chr17",17811412,17811422,"Sox3",327,"-",NA
"437","chr17",17811412,17811422,"Sox6",280,"-",NA
"438","chr17",17811412,17811424,"Foxd3",353,"-",NA
"439","chr17",17811413,17811424,"SOX10",274,"+",NA
"440","chr17",17811414,17811426,"BARX2",289,"+",NA
"441","chr17",17811415,17811425,"HLTF",228,"-",NA
"442","chr17",17811415,17811425,"RORA",340,"+",NA
"443","chr17",17811415,17811427,"NR4A1",390,"+",NA
"444","chr17",17811416,17811427,"NR2F2",337,"+",NA
"445","chr17",17811416,17811429,"FOXD2",402,"+",NA
"446","chr17",17811416,17811430,"Foxl2",326,"+",NA
"447","chr17",17811416,17811430,"ONECUT2",500,"+",NA
"448","chr17",17811416,17811430,"ONECUT3",549,"+",NA
"449","chr17",17811416,17811432,"ONECUT1",524,"+",NA
"450","chr17",17811416,17811433,"Foxj3",460,"+",NA
"451","chr17",17811417,17811426,"NR2C1",223,"+",NA
"452","chr17",17811417,17811426,"Nr2e1",541,"+",NA
"453","chr17",17811418,17811426,"MEIS3",220,"-",NA
"454","chr17",17811418,17811426,"NR2C2(var.2)",171,"+",NA
"455","chr17",17811418,17811426,"NR4A2",279,"+",NA
"456","chr17",17811418,17811429,"DUX4",306,"+",NA
"457","chr17",17811418,17811429,"FOXB1",468,"+",NA
"458","chr17",17811418,17811429,"FOXC1",468,"+",NA
"459","chr17",17811418,17811429,"PHOX2A",318,"+",NA
"460","chr17",17811418,17811430,"FOXC2",506,"+",NA
"461","chr17",17811419,17811426,"MEIS1",237,"-",NA
"462","chr17",17811419,17811429,"CUX1",284,"+",NA
"463","chr17",17811419,17811429,"CUX2",303,"+",NA
"464","chr17",17811419,17811429,"SOX15",276,"-",NA
"465","chr17",17811419,17811429,"Sox6",270,"-",NA
